[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> tweet_ids...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=100, s=10.0
Epochs: 100
Feature(s): tweet
max-vocab=3000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 500
==============================
[*] Training for 100 epochs...
Epoch   1: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  42: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 67.49%/68.75% | Recall: 52.06%/51.49% | F1: 34.47%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  43: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 67.67%/68.75% | Recall: 52.17%/51.49% | F1: 34.69%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  44: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 69.32%/68.75% | Recall: 52.10%/51.49% | F1: 34.33%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  45: Train%/Test% | Accuracy: 44.19%/37.26% | Precision: 69.06%/68.48% | Recall: 51.90%/50.37% | F1: 33.91%/27.73% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  46: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 69.20%/68.75% | Recall: 52.00%/51.49% | F1: 34.12%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  47: Train%/Test% | Accuracy: 44.31%/37.26% | Precision: 71.48%/68.48% | Recall: 52.04%/50.37% | F1: 33.97%/27.73% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  48: Train%/Test% | Accuracy: 44.19%/37.26% | Precision: 69.06%/68.48% | Recall: 51.90%/50.37% | F1: 33.91%/27.73% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  49: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 69.32%/68.75% | Recall: 52.10%/51.49% | F1: 34.33%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  50: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  51: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  52: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  53: Train%/Test% | Accuracy: 44.43%/37.26% | Precision: 71.51%/68.48% | Recall: 52.14%/50.37% | F1: 34.19%/27.73% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  54: Train%/Test% | Accuracy: 44.43%/37.26% | Precision: 71.51%/68.48% | Recall: 52.14%/50.37% | F1: 34.19%/27.73% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  55: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  56: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  57: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  58: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 69.20%/68.75% | Recall: 52.00%/51.49% | F1: 34.12%/30.17% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  59: Train%/Test% | Accuracy: 44.19%/38.68% | Precision: 69.06%/68.75% | Recall: 51.90%/51.49% | F1: 33.91%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  60: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  61: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 71.56%/68.75% | Recall: 52.35%/51.49% | F1: 34.61%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  62: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  63: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 71.56%/68.75% | Recall: 52.35%/51.49% | F1: 34.61%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  64: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 71.56%/68.75% | Recall: 52.35%/51.49% | F1: 34.61%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  65: Train%/Test% | Accuracy: 44.79%/38.68% | Precision: 71.59%/68.75% | Recall: 52.45%/51.49% | F1: 34.82%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  66: Train%/Test% | Accuracy: 44.79%/38.68% | Precision: 71.59%/68.75% | Recall: 52.45%/51.49% | F1: 34.82%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  67: Train%/Test% | Accuracy: 44.79%/38.68% | Precision: 71.59%/68.75% | Recall: 52.45%/51.49% | F1: 34.82%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  68: Train%/Test% | Accuracy: 44.79%/38.68% | Precision: 71.59%/68.75% | Recall: 52.45%/51.49% | F1: 34.82%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  69: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  70: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  71: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
