[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using CPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch  72: Train%/Test% | Accuracy: 98.00%/74.00% | Precision: 98.04%/74.83% | Recall: 98.04%/73.03% | F1: 98.00%/73.13% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch  73: Train%/Test% | Accuracy: 98.75%/73.00% | Precision: 98.76%/73.55% | Recall: 98.77%/72.10% | F1: 98.75%/72.20% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  74: Train%/Test% | Accuracy: 99.50%/73.00% | Precision: 99.49%/73.25% | Recall: 99.51%/72.26% | F1: 99.50%/72.38% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  75: Train%/Test% | Accuracy: 99.00%/74.00% | Precision: 98.99%/74.45% | Recall: 99.01%/73.19% | F1: 99.00%/73.32% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch  76: Train%/Test% | Accuracy: 99.50%/73.00% | Precision: 99.50%/72.89% | Recall: 99.50%/72.58% | F1: 99.50%/72.67% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch  77: Train%/Test% | Accuracy: 99.50%/72.00% | Precision: 99.50%/71.83% | Recall: 99.50%/71.66% | F1: 99.50%/71.72% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  78: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/74.93% | Recall: 99.51%/74.60% | F1: 99.50%/74.69% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch  79: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/73.97% | Recall: 99.51%/73.51% | F1: 99.50%/73.62% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch  80: Train%/Test% | Accuracy: 99.50%/76.00% | Precision: 99.50%/76.03% | Recall: 99.50%/75.52% | F1: 99.50%/75.65% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  81: Train%/Test% | Accuracy: 99.25%/73.00% | Precision: 99.26%/72.83% | Recall: 99.24%/72.75% | F1: 99.25%/72.78% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  82: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.50%/75.35% | Recall: 99.50%/74.28% | F1: 99.50%/74.42% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  83: Train%/Test% | Accuracy: 99.25%/73.00% | Precision: 99.25%/73.55% | Recall: 99.25%/72.10% | F1: 99.25%/72.20% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  84: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/74.45% | Recall: 99.51%/73.19% | F1: 99.50%/73.32% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  85: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/75.70% | Recall: 99.51%/74.11% | F1: 99.50%/74.26% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  86: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/75.70% | Recall: 99.51%/74.11% | F1: 99.50%/74.26% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  87: Train%/Test% | Accuracy: 99.25%/74.00% | Precision: 99.25%/74.83% | Recall: 99.26%/73.03% | F1: 99.25%/73.13% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  88: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/75.70% | Recall: 99.51%/74.11% | F1: 99.50%/74.26% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  89: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/74.45% | Recall: 99.51%/73.19% | F1: 99.50%/73.32% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  90: Train%/Test% | Accuracy: 99.75%/72.00% | Precision: 99.75%/72.08% | Recall: 99.75%/71.34% | F1: 99.75%/71.44% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  91: Train%/Test% | Accuracy: 99.75%/73.00% | Precision: 99.75%/73.25% | Recall: 99.75%/72.26% | F1: 99.75%/72.38% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  92: Train%/Test% | Accuracy: 99.75%/73.00% | Precision: 99.75%/73.25% | Recall: 99.75%/72.26% | F1: 99.75%/72.38% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  93: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/74.45% | Recall: 99.51%/73.19% | F1: 99.50%/73.32% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  94: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/75.35% | Recall: 99.51%/74.28% | F1: 99.50%/74.42% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  95: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/75.09% | Recall: 99.51%/74.44% | F1: 99.50%/74.57% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  96: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/75.09% | Recall: 99.51%/74.44% | F1: 99.50%/74.57% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  97: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/74.17% | Recall: 99.51%/73.35% | F1: 99.50%/73.48% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  98: Train%/Test% | Accuracy: 99.25%/75.00% | Precision: 99.25%/75.35% | Recall: 99.26%/74.28% | F1: 99.25%/74.42% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  99: Train%/Test% | Accuracy: 99.25%/77.00% | Precision: 99.25%/77.16% | Recall: 99.25%/76.45% | F1: 99.25%/76.60% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 100: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.50%/74.93% | Recall: 99.50%/74.60% | F1: 99.50%/74.69% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch 101: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/75.35% | Recall: 99.51%/74.28% | F1: 99.50%/74.42% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch 102: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/73.97% | Recall: 99.51%/73.51% | F1: 99.50%/73.62% | Time: fit=002s, train=000s, test=000s, total=002s
