[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  38: Train%/Test% | Accuracy: 83.06%/75.94% | Precision: 82.66%/74.15% | Recall: 82.47%/73.74% | F1: 82.56%/73.92% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  39: Train%/Test% | Accuracy: 83.41%/75.47% | Precision: 82.97%/73.64% | Recall: 82.97%/73.10% | F1: 82.97%/73.34% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  40: Train%/Test% | Accuracy: 67.65%/59.43% | Precision: 75.87%/66.81% | Recall: 71.67%/65.50% | F1: 67.06%/59.30% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  41: Train%/Test% | Accuracy: 67.54%/58.96% | Precision: 75.46%/66.55% | Recall: 71.49%/65.13% | F1: 66.97%/58.81% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  42: Train%/Test% | Accuracy: 69.55%/59.43% | Precision: 76.17%/66.81% | Recall: 73.15%/65.50% | F1: 69.21%/59.30% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  43: Train%/Test% | Accuracy: 73.46%/63.21% | Precision: 77.89%/68.42% | Recall: 76.40%/68.22% | F1: 73.37%/63.20% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  44: Train%/Test% | Accuracy: 80.69%/70.28% | Precision: 81.70%/70.67% | Recall: 82.27%/72.21% | F1: 80.66%/69.86% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  45: Train%/Test% | Accuracy: 80.57%/71.70% | Precision: 81.24%/71.46% | Recall: 81.93%/73.06% | F1: 80.52%/71.12% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  46: Train%/Test% | Accuracy: 81.16%/73.11% | Precision: 81.75%/72.54% | Recall: 82.48%/74.18% | F1: 81.11%/72.45% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  47: Train%/Test% | Accuracy: 79.86%/68.87% | Precision: 80.97%/69.39% | Recall: 81.48%/70.82% | F1: 79.84%/68.46% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  48: Train%/Test% | Accuracy: 82.11%/72.64% | Precision: 82.70%/72.17% | Recall: 83.45%/73.80% | F1: 82.06%/72.00% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  49: Train%/Test% | Accuracy: 85.43%/76.42% | Precision: 84.97%/74.65% | Recall: 85.29%/74.65% | F1: 85.11%/74.65% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  50: Train%/Test% | Accuracy: 83.89%/76.89% | Precision: 83.40%/75.21% | Recall: 83.89%/75.82% | F1: 83.59%/75.47% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  51: Train%/Test% | Accuracy: 84.83%/77.83% | Precision: 84.40%/76.24% | Recall: 85.06%/77.10% | F1: 84.60%/76.58% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  52: Train%/Test% | Accuracy: 83.18%/78.30% | Precision: 82.96%/76.92% | Recall: 82.30%/75.60% | F1: 82.56%/76.13% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  53: Train%/Test% | Accuracy: 83.06%/79.25% | Precision: 82.82%/77.99% | Recall: 82.19%/76.62% | F1: 82.45%/77.16% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  54: Train%/Test% | Accuracy: 85.66%/78.77% | Precision: 85.21%/77.17% | Recall: 85.81%/77.58% | F1: 85.42%/77.36% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  55: Train%/Test% | Accuracy: 84.36%/74.53% | Precision: 84.22%/73.19% | Recall: 85.12%/74.49% | F1: 84.23%/73.49% | Time: fit=016s, train=003s, test=001s, total=020s
