[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch  39: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/72.08% | Recall: 100.00%/71.34% | F1: 100.00%/71.44% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  40: Train%/Test% | Accuracy: 100.00%/74.00% | Precision: 100.00%/73.97% | Recall: 100.00%/73.51% | F1: 100.00%/73.62% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  41: Train%/Test% | Accuracy: 100.00%/76.00% | Precision: 100.00%/76.25% | Recall: 100.00%/75.36% | F1: 100.00%/75.52% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  42: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.65% | F1: 100.00%/69.70% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  43: Train%/Test% | Accuracy: 100.00%/66.00% | Precision: 100.00%/66.72% | Recall: 100.00%/66.59% | F1: 100.00%/65.99% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  44: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.93% | Recall: 100.00%/69.04% | F1: 100.00%/68.92% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  45: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.96% | Recall: 100.00%/70.41% | F1: 100.00%/70.50% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  46: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/71.14% | Recall: 100.00%/70.25% | F1: 100.00%/70.33% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  47: Train%/Test% | Accuracy: 100.00%/66.00% | Precision: 100.00%/66.00% | Recall: 100.00%/66.10% | F1: 100.00%/65.95% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  48: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.96% | Recall: 100.00%/70.41% | F1: 100.00%/70.50% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  49: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.03% | Recall: 100.00%/72.42% | F1: 100.00%/72.54% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  50: Train%/Test% | Accuracy: 100.00%/74.00% | Precision: 100.00%/74.17% | Recall: 100.00%/73.35% | F1: 100.00%/73.48% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  51: Train%/Test% | Accuracy: 100.00%/75.00% | Precision: 100.00%/74.93% | Recall: 100.00%/74.60% | F1: 100.00%/74.69% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  52: Train%/Test% | Accuracy: 100.00%/77.00% | Precision: 100.00%/77.45% | Recall: 100.00%/76.29% | F1: 100.00%/76.47% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  53: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/72.89% | Recall: 100.00%/72.58% | F1: 100.00%/72.67% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  54: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.81% | F1: 100.00%/69.81% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  55: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/69.09% | Recall: 100.00%/69.20% | F1: 100.00%/68.97% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  56: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.81% | Recall: 100.00%/70.73% | F1: 100.00%/70.76% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  57: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.81% | F1: 100.00%/69.81% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  58: Train%/Test% | Accuracy: 100.00%/67.00% | Precision: 100.00%/67.58% | Recall: 100.00%/67.51% | F1: 100.00%/67.00% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  59: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.89% | Recall: 100.00%/68.40% | F1: 100.00%/68.47% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  60: Train%/Test% | Accuracy: 100.00%/66.00% | Precision: 100.00%/66.19% | Recall: 100.00%/66.26% | F1: 100.00%/65.99% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  61: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/72.08% | Recall: 100.00%/71.34% | F1: 100.00%/71.44% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  62: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.87% | Recall: 100.00%/69.48% | F1: 100.00%/69.56% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  63: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.96% | Recall: 100.00%/70.41% | F1: 100.00%/70.50% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  64: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.25% | Recall: 100.00%/72.26% | F1: 100.00%/72.38% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  65: Train%/Test% | Accuracy: 100.00%/68.00% | Precision: 100.00%/67.87% | Recall: 100.00%/67.95% | F1: 100.00%/67.88% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  66: Train%/Test% | Accuracy: 100.00%/74.00% | Precision: 100.00%/74.45% | Recall: 100.00%/73.19% | F1: 100.00%/73.32% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  67: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.92% | Recall: 100.00%/71.50% | F1: 100.00%/71.59% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  68: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/71.14% | Recall: 100.00%/70.25% | F1: 100.00%/70.33% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  69: Train%/Test% | Accuracy: 100.00%/68.00% | Precision: 100.00%/67.87% | Recall: 100.00%/67.95% | F1: 100.00%/67.88% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  70: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/72.08% | Recall: 100.00%/71.34% | F1: 100.00%/71.44% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  71: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.25% | Recall: 100.00%/72.26% | F1: 100.00%/72.38% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  72: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.92% | Recall: 100.00%/71.50% | F1: 100.00%/71.59% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  73: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.88% | Recall: 100.00%/71.98% | F1: 100.00%/71.90% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  74: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.83% | Recall: 100.00%/71.66% | F1: 100.00%/71.72% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  75: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.87% | Recall: 100.00%/69.97% | F1: 100.00%/69.89% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  76: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.93% | Recall: 100.00%/69.04% | F1: 100.00%/68.92% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  77: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.81% | Recall: 100.00%/70.73% | F1: 100.00%/70.76% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  78: Train%/Test% | Accuracy: 100.00%/64.00% | Precision: 100.00%/64.69% | Recall: 100.00%/64.57% | F1: 100.00%/63.99% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  79: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.92% | Recall: 100.00%/71.50% | F1: 100.00%/71.59% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  80: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.92% | Recall: 100.00%/71.50% | F1: 100.00%/71.59% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  81: Train%/Test% | Accuracy: 100.00%/66.00% | Precision: 100.00%/65.87% | Recall: 100.00%/65.94% | F1: 100.00%/65.88% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  82: Train%/Test% | Accuracy: 100.00%/65.00% | Precision: 100.00%/64.93% | Recall: 100.00%/65.02% | F1: 100.00%/64.91% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  83: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.92% | Recall: 100.00%/71.50% | F1: 100.00%/71.59% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  84: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.85% | Recall: 100.00%/70.57% | F1: 100.00%/70.64% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  85: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.79% | Recall: 100.00%/68.72% | F1: 100.00%/68.75% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  86: Train%/Test% | Accuracy: 100.00%/75.00% | Precision: 100.00%/75.70% | Recall: 100.00%/74.11% | F1: 100.00%/74.26% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  87: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.85% | Recall: 100.00%/70.57% | F1: 100.00%/70.64% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  88: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.93% | Recall: 100.00%/69.04% | F1: 100.00%/68.92% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  89: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.25% | Recall: 100.00%/72.26% | F1: 100.00%/72.38% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  90: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.55% | Recall: 100.00%/72.10% | F1: 100.00%/72.20% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  91: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.65% | F1: 100.00%/69.70% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  92: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.81% | Recall: 100.00%/68.56% | F1: 100.00%/68.62% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  93: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/72.83% | Recall: 100.00%/72.75% | F1: 100.00%/72.78% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  94: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.83% | Recall: 100.00%/71.66% | F1: 100.00%/71.72% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  95: Train%/Test% | Accuracy: 100.00%/66.00% | Precision: 100.00%/66.19% | Recall: 100.00%/66.26% | F1: 100.00%/65.99% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  96: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/72.89% | Recall: 100.00%/72.58% | F1: 100.00%/72.67% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  97: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/72.83% | Recall: 100.00%/72.75% | F1: 100.00%/72.78% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  98: Train%/Test% | Accuracy: 100.00%/67.00% | Precision: 100.00%/66.93% | Recall: 100.00%/67.03% | F1: 100.00%/66.92% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  99: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.83% | Recall: 100.00%/71.66% | F1: 100.00%/71.72% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 100: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.83% | Recall: 100.00%/68.88% | F1: 100.00%/68.85% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 101: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.84% | Recall: 100.00%/70.89% | F1: 100.00%/70.86% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 102: Train%/Test% | Accuracy: 100.00%/68.00% | Precision: 100.00%/68.00% | Recall: 100.00%/68.12% | F1: 100.00%/67.95% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 103: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.93% | Recall: 100.00%/69.04% | F1: 100.00%/68.92% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 104: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.84% | Recall: 100.00%/70.89% | F1: 100.00%/70.86% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 105: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.87% | Recall: 100.00%/69.97% | F1: 100.00%/69.89% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 106: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.81% | F1: 100.00%/69.81% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch 107: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/70.20% | Recall: 100.00%/69.16% | F1: 100.00%/69.21% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 108: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.81% | F1: 100.00%/69.81% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 109: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/69.09% | Recall: 100.00%/69.20% | F1: 100.00%/68.97% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 110: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.85% | Recall: 100.00%/70.57% | F1: 100.00%/70.64% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 111: Train%/Test% | Accuracy: 100.00%/68.00% | Precision: 100.00%/67.87% | Recall: 100.00%/67.95% | F1: 100.00%/67.88% | Time: fit=000s, train=000s, test=000s, total=001s
