[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=250, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
*** compiler output in /tmp/tmpz0ke4uou
*** compiler output in /tmp/tmp9qibpyra
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=023s, train=003s, test=001s, total=027s
Epoch   2: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  46: Train%/Test% | Accuracy: 84.24%/77.83% | Precision: 83.97%/76.44% | Recall: 83.53%/74.96% | F1: 83.72%/75.53% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  47: Train%/Test% | Accuracy: 84.48%/78.77% | Precision: 84.15%/77.40% | Recall: 83.89%/76.24% | F1: 84.01%/76.72% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  48: Train%/Test% | Accuracy: 84.00%/77.83% | Precision: 83.75%/76.34% | Recall: 83.25%/75.23% | F1: 83.46%/75.68% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  49: Train%/Test% | Accuracy: 84.60%/77.83% | Precision: 84.24%/76.34% | Recall: 84.07%/75.23% | F1: 84.15%/75.68% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  50: Train%/Test% | Accuracy: 84.24%/77.83% | Precision: 83.92%/76.26% | Recall: 83.61%/75.50% | F1: 83.75%/75.83% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  51: Train%/Test% | Accuracy: 84.72%/76.89% | Precision: 84.28%/75.33% | Recall: 84.96%/76.36% | F1: 84.48%/75.69% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  52: Train%/Test% | Accuracy: 85.31%/78.77% | Precision: 84.92%/77.24% | Recall: 84.92%/76.78% | F1: 84.92%/76.99% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  53: Train%/Test% | Accuracy: 85.55%/79.72% | Precision: 85.22%/78.35% | Recall: 85.04%/77.53% | F1: 85.12%/77.89% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  54: Train%/Test% | Accuracy: 84.72%/78.77% | Precision: 84.30%/77.24% | Recall: 84.33%/76.78% | F1: 84.31%/76.99% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  55: Train%/Test% | Accuracy: 83.53%/79.25% | Precision: 83.31%/77.88% | Recall: 82.68%/76.88% | F1: 82.94%/77.30% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  56: Train%/Test% | Accuracy: 85.66%/76.89% | Precision: 85.20%/75.15% | Recall: 85.73%/75.29% | F1: 85.40%/75.22% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  57: Train%/Test% | Accuracy: 84.83%/76.89% | Precision: 84.48%/75.18% | Recall: 84.31%/74.75% | F1: 84.39%/74.95% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  58: Train%/Test% | Accuracy: 84.12%/77.83% | Precision: 83.69%/76.21% | Recall: 83.74%/75.77% | F1: 83.71%/75.97% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  59: Train%/Test% | Accuracy: 84.83%/77.83% | Precision: 84.37%/76.18% | Recall: 84.70%/76.03% | F1: 84.51%/76.10% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  60: Train%/Test% | Accuracy: 84.48%/77.83% | Precision: 84.05%/76.18% | Recall: 84.12%/76.03% | F1: 84.08%/76.10% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  61: Train%/Test% | Accuracy: 85.19%/77.83% | Precision: 84.73%/76.18% | Recall: 85.09%/76.03% | F1: 84.88%/76.10% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  62: Train%/Test% | Accuracy: 84.60%/76.89% | Precision: 84.13%/75.16% | Recall: 84.42%/75.02% | F1: 84.26%/75.09% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  63: Train%/Test% | Accuracy: 83.77%/76.89% | Precision: 83.28%/75.16% | Recall: 83.59%/75.02% | F1: 83.42%/75.09% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  64: Train%/Test% | Accuracy: 85.19%/75.94% | Precision: 84.83%/74.36% | Recall: 85.64%/75.34% | F1: 85.01%/74.70% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  65: Train%/Test% | Accuracy: 86.61%/77.36% | Precision: 86.19%/75.73% | Recall: 86.90%/76.46% | F1: 86.41%/76.02% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  66: Train%/Test% | Accuracy: 84.83%/77.83% | Precision: 84.37%/76.16% | Recall: 84.67%/76.30% | F1: 84.50%/76.23% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  67: Train%/Test% | Accuracy: 84.72%/78.30% | Precision: 84.25%/76.67% | Recall: 84.56%/76.67% | F1: 84.38%/76.67% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  68: Train%/Test% | Accuracy: 85.43%/78.30% | Precision: 84.96%/76.67% | Recall: 85.45%/76.94% | F1: 85.15%/76.80% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  69: Train%/Test% | Accuracy: 85.07%/76.42% | Precision: 84.67%/74.89% | Recall: 85.42%/75.99% | F1: 84.87%/75.25% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  70: Train%/Test% | Accuracy: 84.24%/75.47% | Precision: 84.12%/74.29% | Recall: 85.02%/75.77% | F1: 84.12%/74.57% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  71: Train%/Test% | Accuracy: 83.65%/75.00% | Precision: 83.73%/73.89% | Recall: 84.62%/75.40% | F1: 83.55%/74.12% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  72: Train%/Test% | Accuracy: 71.21%/59.91% | Precision: 77.19%/65.06% | Recall: 74.62%/64.80% | F1: 70.97%/59.90% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  73: Train%/Test% | Accuracy: 75.00%/63.68% | Precision: 78.25%/66.96% | Recall: 77.53%/67.52% | F1: 74.97%/63.64% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  74: Train%/Test% | Accuracy: 75.36%/63.68% | Precision: 78.57%/66.96% | Recall: 77.87%/67.52% | F1: 75.33%/63.64% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  75: Train%/Test% | Accuracy: 75.59%/62.74% | Precision: 79.03%/65.98% | Recall: 78.20%/66.50% | F1: 75.56%/62.70% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  76: Train%/Test% | Accuracy: 79.38%/70.28% | Precision: 80.92%/70.67% | Recall: 81.23%/72.21% | F1: 79.38%/69.86% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  77: Train%/Test% | Accuracy: 84.60%/76.42% | Precision: 84.56%/75.24% | Recall: 85.48%/76.79% | F1: 84.49%/75.54% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  78: Train%/Test% | Accuracy: 83.77%/75.94% | Precision: 83.55%/74.45% | Recall: 84.41%/75.61% | F1: 83.62%/74.81% | Time: fit=016s, train=003s, test=001s, total=020s
