Epoch  50: Train%/Test% | Accuracy: 82.58%/76.42% | Precision: 82.25%/75.75% | Recall: 81.82%/77.59% | F1: 82.01%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  51: Train%/Test% | Accuracy: 81.40%/76.42% | Precision: 81.03%/75.75% | Recall: 80.57%/77.59% | F1: 80.77%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  52: Train%/Test% | Accuracy: 81.28%/75.00% | Precision: 80.88%/74.43% | Recall: 80.51%/76.21% | F1: 80.67%/74.38% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  53: Train%/Test% | Accuracy: 81.16%/76.42% | Precision: 80.83%/75.56% | Recall: 80.25%/77.32% | F1: 80.49%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  54: Train%/Test% | Accuracy: 81.40%/76.89% | Precision: 81.13%/76.13% | Recall: 80.41%/77.97% | F1: 80.70%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  55: Train%/Test% | Accuracy: 82.46%/76.42% | Precision: 82.21%/75.56% | Recall: 81.57%/77.32% | F1: 81.83%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  56: Train%/Test% | Accuracy: 81.75%/76.42% | Precision: 81.44%/75.56% | Recall: 80.88%/77.32% | F1: 81.11%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  57: Train%/Test% | Accuracy: 80.92%/76.42% | Precision: 80.59%/75.56% | Recall: 80.00%/77.32% | F1: 80.24%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  58: Train%/Test% | Accuracy: 81.87%/75.94% | Precision: 81.63%/75.00% | Recall: 80.90%/76.68% | F1: 81.19%/75.19% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  59: Train%/Test% | Accuracy: 81.99%/75.94% | Precision: 81.71%/75.00% | Recall: 81.08%/76.68% | F1: 81.34%/75.19% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  60: Train%/Test% | Accuracy: 82.11%/76.89% | Precision: 81.78%/76.13% | Recall: 81.30%/77.97% | F1: 81.50%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  61: Train%/Test% | Accuracy: 82.58%/76.42% | Precision: 82.38%/75.56% | Recall: 81.63%/77.32% | F1: 81.93%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  62: Train%/Test% | Accuracy: 81.87%/75.00% | Precision: 81.51%/74.43% | Recall: 81.09%/76.21% | F1: 81.27%/74.38% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  63: Train%/Test% | Accuracy: 82.23%/76.42% | Precision: 81.99%/75.56% | Recall: 81.28%/77.32% | F1: 81.56%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  64: Train%/Test% | Accuracy: 82.82%/75.47% | Precision: 82.70%/74.80% | Recall: 81.79%/76.58% | F1: 82.14%/74.82% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  65: Train%/Test% | Accuracy: 82.82%/75.00% | Precision: 82.63%/74.43% | Recall: 81.87%/76.21% | F1: 82.17%/74.38% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  66: Train%/Test% | Accuracy: 82.70%/75.47% | Precision: 82.52%/75.01% | Recall: 81.73%/76.85% | F1: 82.04%/74.90% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  67: Train%/Test% | Accuracy: 82.82%/76.89% | Precision: 82.70%/76.13% | Recall: 81.79%/77.97% | F1: 82.14%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
