[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 2441
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-FakeNewsAMT
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 384
Train classes: 2
Test size: 96
Test classes: 2
Total features: 2441
==============================
[*] Training for 150 epochs...
Epoch  80: Train%/Test% | Accuracy: 99.22%/45.83% | Precision: 99.23%/45.59% | Recall: 99.22%/45.68% | F1: 99.22%/45.45% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  81: Train%/Test% | Accuracy: 100.00%/48.96% | Precision: 100.00%/48.91% | Recall: 100.00%/48.91% | F1: 100.00%/48.91% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  82: Train%/Test% | Accuracy: 100.00%/47.92% | Precision: 100.00%/47.89% | Recall: 100.00%/47.89% | F1: 100.00%/47.89% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  83: Train%/Test% | Accuracy: 100.00%/44.79% | Precision: 100.00%/44.58% | Recall: 100.00%/44.66% | F1: 100.00%/44.50% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  84: Train%/Test% | Accuracy: 99.74%/46.88% | Precision: 99.74%/46.69% | Recall: 99.74%/46.74% | F1: 99.74%/46.59% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  85: Train%/Test% | Accuracy: 100.00%/48.96% | Precision: 100.00%/48.86% | Recall: 100.00%/48.87% | F1: 100.00%/48.82% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  86: Train%/Test% | Accuracy: 100.00%/48.96% | Precision: 100.00%/48.96% | Recall: 100.00%/48.96% | F1: 100.00%/48.95% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  87: Train%/Test% | Accuracy: 100.00%/47.92% | Precision: 100.00%/47.94% | Recall: 100.00%/47.94% | F1: 100.00%/47.92% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  88: Train%/Test% | Accuracy: 100.00%/48.96% | Precision: 100.00%/48.91% | Recall: 100.00%/48.91% | F1: 100.00%/48.91% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  89: Train%/Test% | Accuracy: 100.00%/50.00% | Precision: 100.00%/50.02% | Recall: 100.00%/50.02% | F1: 100.00%/50.00% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  90: Train%/Test% | Accuracy: 100.00%/43.75% | Precision: 100.00%/43.57% | Recall: 100.00%/43.64% | F1: 100.00%/43.53% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  91: Train%/Test% | Accuracy: 100.00%/46.88% | Precision: 100.00%/46.88% | Recall: 100.00%/46.87% | F1: 100.00%/46.87% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  92: Train%/Test% | Accuracy: 100.00%/44.79% | Precision: 100.00%/44.79% | Recall: 100.00%/44.79% | F1: 100.00%/44.79% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  93: Train%/Test% | Accuracy: 100.00%/43.75% | Precision: 100.00%/43.46% | Recall: 100.00%/43.60% | F1: 100.00%/43.36% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch  94: Train%/Test% | Accuracy: 100.00%/46.88% | Precision: 100.00%/46.91% | Recall: 100.00%/46.92% | F1: 100.00%/46.87% | Time: fit=000s, train=000s, test=000s, total=000s
