[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=150, s=10.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch  65: Train%/Test% | Accuracy: 99.00%/73.00% | Precision: 99.00%/73.25% | Recall: 99.02%/72.26% | F1: 99.00%/72.38% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  66: Train%/Test% | Accuracy: 99.25%/73.00% | Precision: 99.25%/73.25% | Recall: 99.26%/72.26% | F1: 99.25%/72.38% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  67: Train%/Test% | Accuracy: 99.00%/72.00% | Precision: 98.99%/72.08% | Recall: 99.01%/71.34% | F1: 99.00%/71.44% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  68: Train%/Test% | Accuracy: 99.00%/72.00% | Precision: 99.00%/72.08% | Recall: 99.02%/71.34% | F1: 99.00%/71.44% | Time: fit=004s, train=001s, test=000s, total=005s
Epoch  69: Train%/Test% | Accuracy: 99.25%/74.00% | Precision: 99.25%/74.17% | Recall: 99.25%/73.35% | F1: 99.25%/73.48% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  70: Train%/Test% | Accuracy: 99.50%/71.00% | Precision: 99.51%/70.85% | Recall: 99.49%/70.57% | F1: 99.50%/70.64% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  71: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/71.14% | Recall: 100.00%/70.25% | F1: 100.00%/70.33% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  72: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.96% | Recall: 100.00%/70.41% | F1: 100.00%/70.50% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  73: Train%/Test% | Accuracy: 99.75%/72.00% | Precision: 99.75%/72.33% | Recall: 99.75%/71.18% | F1: 99.75%/71.26% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  74: Train%/Test% | Accuracy: 99.75%/71.00% | Precision: 99.75%/71.14% | Recall: 99.75%/70.25% | F1: 99.75%/70.33% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  75: Train%/Test% | Accuracy: 99.25%/72.00% | Precision: 99.25%/72.08% | Recall: 99.26%/71.34% | F1: 99.25%/71.44% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  76: Train%/Test% | Accuracy: 99.00%/70.00% | Precision: 99.00%/70.20% | Recall: 99.02%/69.16% | F1: 99.00%/69.21% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  77: Train%/Test% | Accuracy: 99.25%/70.00% | Precision: 99.25%/70.20% | Recall: 99.26%/69.16% | F1: 99.25%/69.21% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  78: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.81% | Recall: 100.00%/68.56% | F1: 100.00%/68.62% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  79: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/72.89% | Recall: 100.00%/72.58% | F1: 100.00%/72.67% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  80: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.82% | Recall: 100.00%/71.82% | F1: 100.00%/71.82% | Time: fit=004s, train=001s, test=000s, total=005s
Epoch  81: Train%/Test% | Accuracy: 99.50%/73.00% | Precision: 99.49%/73.03% | Recall: 99.51%/72.42% | F1: 99.50%/72.54% | Time: fit=005s, train=001s, test=000s, total=006s
